strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d
1,AIIO,2026-09-02,08:07 KST,1.7,9.7,32.3,-25.1,6,3.7,1.79,1.36,
3,IMC,2026-09-02,08:07 KST,6.51,24.9,42.3,,5,1.72,6.84,5.21,-24.1
