strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,rsi14,ret5d,hold_days
1,BTM,2026-05-13,07:24 KST,2.62,13.7,70.1,-48.5,8.0,0.4,2.75,2.1,,,,
3,BTM,2026-05-13,07:24 KST,2.62,13.7,70.1,,8.0,0.38,2.75,2.1,-43.7,,,
3,MTC,2026-05-13,07:24 KST,5.27,28.7,21.1,,5.0,0.0,5.53,4.22,-14.4,,,
4,REED,2026-05-13,07:24 KST,1.79,,46.9,,,,2.15,,,20.9,-48.7,30.0
4,TLSI,2026-05-13,07:24 KST,2.67,,69.1,,,,3.2,,,20.4,-41.3,30.0
