strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,rsi14,ret5d,hold_days
1,CLLS,2026-09-14,08:53 KST,1.83,8.5,37.1,-41.5,6.0,4.0,1.92,1.46,,,,
1,AIFU,2026-09-14,08:53 KST,10.61,18.5,30.8,-31.3,6.0,1.0,11.14,8.49,,,,
3,HQ,2026-09-14,08:53 KST,10.34,19.7,43.5,,4.0,1.12,10.86,8.27,-32.1,,,
4,CLLS,2026-09-14,08:53 KST,1.83,,37.1,,,,2.2,,,21.3,-43.5,30.0
