strategy,ticker,date,scan_time,price,rsi14,intraday,ret5d,tp_price,hold_days,consec_down,vol_avg
4,ADTX,2026-05-18,07:23 KST,1.62,14.9,36.7,-44.9,1.95,30,,
5,OKLL,2026-05-18,07:23 KST,6.97,,22.9,-45.0,7.67,30,5.0,15132837.0
