strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,rsi14,ret5d,hold_days
1,GLXG,2026-04-28,07:10 KST,1.06,10.2,25.7,-42.4,8.0,2.9,1.11,0.85,,,,
3,GLXG,2026-04-28,07:10 KST,1.06,10.2,25.7,,8.0,2.91,1.11,0.85,-12.8,,,
3,SDOT,2026-04-28,07:10 KST,1.33,26.6,20.3,,4.0,0.0,1.4,1.06,-8.9,,,
4,OIO,2026-04-28,07:10 KST,1.71,,50.7,,,,2.05,,,11.0,-79.9,30.0
