strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d
1,HODO,2026-07-09,07:31 KST,1.38,7.5,20.3,-43.2,7,0.4,1.45,1.11,
3,HODO,2026-07-09,07:31 KST,1.38,7.5,20.3,,7,0.36,1.45,1.11,-11.2
