type,signals,wins,losses,expired,unique_tickers,win_rate,avg_pct,median_pct,avg_days,ev,avg_win,avg_loss,tp,sl,max_hold,rsi7_th,intra_th,ret_field,ret_th,down_th,rsi14_th,price_max,ret5d_th,vol_mult,ret1d_th,gap_th,bb_width_max,bb_pos_th,dist_high_th,rsi14_min,up_days_min
PENNY_CRASH,115,47,65,3,80,40.9,3.98,-20.0,4.4,3.98,37.49,-19.19,0.4,-0.2,30,,30.0,,,,20.0,3.0,-50.0,,,,,,,,
PENNY_CRASH,2754,1177,1397,180,1025,42.7,3.95,-20.0,9.7,3.95,33.88,-18.39,0.4,-0.2,30,,15.0,,,,30.0,3.0,-25.0,,,,,,,,
PENNY_CRASH,1170,485,613,72,520,41.5,3.95,-20.0,8.2,3.95,35.7,-18.53,0.4,-0.2,30,,15.0,,,,25.0,5.0,-40.0,,,,,,,,
PENNY_CRASH,429,206,208,15,240,48.0,3.87,-6.25,5.3,3.87,28.68,-19.06,0.3,-0.2,30,,20.0,,,,20.0,5.0,-40.0,,,,,,,,
PENNY_CRASH,951,401,504,46,591,42.2,3.84,-20.0,7.6,3.84,34.8,-18.73,0.4,-0.2,30,,30.0,,,,30.0,3.0,-25.0,,,,,,,,
PENNY_CRASH,1863,788,970,105,864,42.3,3.79,-20.0,8.8,3.79,34.36,-18.62,0.4,-0.2,30,,20.0,,,,30.0,3.0,-25.0,,,,,,,,
PENNY_CRASH,598,286,287,25,340,47.8,3.78,-5.92,5.9,3.78,28.54,-18.91,0.3,-0.2,30,,20.0,,,,20.0,5.0,-30.0,,,,,,,,
PENNY_CRASH,781,325,422,34,499,41.6,3.72,-20.0,6.8,3.72,35.34,-18.81,0.4,-0.2,30,,30.0,,,,30.0,3.0,-30.0,,,,,,,,
PENNY_CRASH,264,107,144,13,155,40.5,3.71,-20.0,6.4,3.71,36.7,-18.76,0.4,-0.2,30,,20.0,,,,20.0,3.0,-40.0,,,,,,,,
PENNY_CRASH,278,131,140,7,153,47.1,3.65,-20.0,4.3,3.65,29.4,-19.3,0.3,-0.2,30,,20.0,,,,20.0,5.0,-50.0,,,,,,,,
PENNY_CRASH,1994,830,1044,120,808,41.6,3.64,-20.0,8.8,3.64,34.74,-18.54,0.4,-0.2,30,,15.0,,,,30.0,3.0,-30.0,,,,,,,,
PENNY_CRASH,339,136,185,18,174,40.1,3.63,-20.0,6.7,3.63,36.88,-18.65,0.4,-0.2,30,,15.0,,,,20.0,3.0,-40.0,,,,,,,,
PENNY_CRASH,350,145,187,18,240,41.4,3.62,-20.0,6.4,3.62,35.06,-18.61,0.4,-0.2,30,,30.0,,,,25.0,3.0,-40.0,,,,,,,,
PENNY_CRASH,4384,1843,2250,291,1345,42.0,3.58,-20.0,9.9,3.58,33.96,-18.46,0.4,-0.2,30,,15.0,,,,30.0,5.0,-25.0,,,,,,,,
PENNY_CRASH,1415,582,758,75,702,41.1,3.57,-20.0,7.9,3.57,35.41,-18.68,0.4,-0.2,30,,20.0,,,,30.0,3.0,-30.0,,,,,,,,
PENNY_CRASH,254,103,137,14,178,40.6,3.55,-20.0,6.8,3.55,36.12,-18.66,0.4,-0.2,30,,30.0,,,,20.0,3.0,-25.0,,,,,,,,
PENNY_CRASH,553,287,245,21,274,51.9,3.54,18.48,5.1,3.54,24.34,-18.91,0.25,-0.2,30,,15.0,,,,20.0,5.0,-40.0,,,,,,,,
PENNY_CRASH,3186,1321,1672,193,1101,41.5,3.53,-20.0,8.9,3.53,34.78,-18.6,0.4,-0.2,30,,15.0,,,,30.0,5.0,-30.0,,,,,,,,
PENNY_CRASH,1037,544,451,42,507,52.5,3.53,8.98,6.7,3.53,23.83,-18.87,0.25,-0.2,30,,15.0,,,,20.0,5.0,-25.0,,,,,,,,
PENNY_CRASH,637,302,305,30,326,47.4,3.48,-5.63,7.1,3.48,28.09,-18.71,0.3,-0.2,30,,15.0,,,,20.0,3.0,-25.0,,,,,,,,
PENNY_CRASH,1593,762,748,83,709,47.8,3.48,-3.51,7.7,3.48,27.5,-18.54,0.3,-0.2,30,,15.0,,,,25.0,3.0,-25.0,,,,,,,,
PENNY_CRASH,815,422,361,32,402,51.8,3.46,13.8,5.7,3.46,24.27,-18.89,0.25,-0.2,30,,15.0,,,,20.0,5.0,-30.0,,,,,,,,
PENNY_CRASH,2556,1224,1195,137,995,47.9,3.46,-4.4,8.2,3.46,27.45,-18.59,0.3,-0.2,30,,15.0,,,,25.0,5.0,-25.0,,,,,,,,
PENNY_CRASH,172,68,98,6,98,39.5,3.45,-20.0,5.6,3.45,37.8,-19.01,0.4,-0.2,30,,20.0,,,,20.0,3.0,-50.0,,,,,,,,
PENNY_CRASH,892,362,480,50,453,40.6,3.44,-20.0,7.4,3.44,35.76,-18.63,0.4,-0.2,30,,20.0,,,,25.0,5.0,-40.0,,,,,,,,
PENNY_CRASH,2270,927,1215,128,968,40.8,3.43,-20.0,8.0,3.43,35.45,-18.68,0.4,-0.2,30,,20.0,,,,30.0,5.0,-30.0,,,,,,,,
PENNY_CRASH,174,70,96,8,122,40.2,3.43,-20.0,5.5,3.43,36.41,-18.77,0.4,-0.2,30,,30.0,,,,20.0,3.0,-40.0,,,,,,,,
