strategy,ticker,date,scan_time,price,rsi14,intraday,ret5d,tp_price,hold_days
D,FBLG,2026-03-31,06:52 KST,1.32,20.2,39.5,-74.3,1.58,30
D,PEPG,2026-03-31,06:52 KST,1.77,18.5,37.8,-62.5,2.12,30
