strategy,ticker,date,scan_time,price,rsi7,intraday,ret1d,consec_down,dist_low5,tp_price,sl_price,rsi14,ret5d,hold_days
3,OIO,2026-04-24,06:56 KST,2.93,5.1,156.8,-58.4,4.0,0.34,3.08,2.34,,,
4,OIO,2026-04-24,06:56 KST,2.93,,156.8,,,,3.52,,12.8,-66.1,30.0
