strategy,ticker,date,scan_time,price,rsi7,intraday,ret1d,consec_down,dist_low5,tp_price,sl_price,ret5d,vol_avg,hold_days,vol_20d,dist_52w,bb_pctb,ret_1d,gap_pct,atr_change
3,QBTZ,2026-05-06,07:12 KST,11.08,20.6,27.8,-21.6,6.0,2.78,11.63,8.86,,,,,,,,,
3,IREZ,2026-05-06,07:12 KST,7.18,21.4,25.6,-23.0,5.0,2.28,7.54,5.74,,,,,,,,,
3,RGTZ,2026-05-06,07:12 KST,9.95,21.4,22.1,-19.6,5.0,0.91,10.45,7.96,,,,,,,,,
5,IREZ,2026-05-06,07:12 KST,7.18,,25.6,,5.0,,7.9,,-55.9,3623794.0,30.0,,,,,,
5,RGTZ,2026-05-06,07:12 KST,9.95,,22.1,,5.0,,10.94,,-39.8,2958189.0,30.0,,,,,,
6,GDC,2026-05-06,07:12 KST,1.24,,,,,,1.86,0.99,,,20.0,20.4,-87.5,-0.208,-79.3,25.2,
8,GDC,2026-05-06,07:12 KST,1.24,29.1,,,,,1.74,0.99,,,20.0,,-87.5,,-79.3,25.2,252.0
