strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,rsi14,ret5d,hold_days
1,CAST,2026-04-22,06:59 KST,2.35,11.6,37.8,-33.0,7.0,4.4,2.47,1.88,,,,
3,SMX,2026-04-22,06:59 KST,3.68,23.4,25.6,,4.0,2.51,3.86,2.94,-15.4,,,
4,CAST,2026-04-22,06:59 KST,2.35,,37.8,,,,2.82,,,19.5,-40.7,30.0
