strategy,ticker,date,scan_time,price,rsi7,intraday,ret1d,consec_down,dist_low5,tp_price,sl_price,rsi14,ret5d,hold_days
3,AKTX,2026-07-21,07:30 KST,9.3,27.4,36.0,-12.8,5.0,2.76,9.76,7.44,,,
4,MWC,2026-07-21,07:30 KST,1.11,,65.4,,,,1.33,,21.5,-62.0,30.0
4,VIVK,2026-07-21,07:30 KST,2.58,,286.7,,,,3.1,,24.4,-57.2,30.0
