strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,ret5d,vol_avg,hold_days
1,REED,2026-06-24,07:26 KST,1.12,12.3,27.9,-16.7,7,1.4,1.18,0.9,,,,
1,MST,2026-06-24,07:26 KST,8.69,18.3,24.9,-30.5,6,4.3,9.13,6.95,,,,
1,MSTP,2026-06-24,07:26 KST,13.68,19.5,23.7,-31.0,6,4.4,14.36,10.94,,,,
1,MSTX,2026-06-24,07:26 KST,9.01,19.5,26.4,-31.1,6,4.5,9.46,7.21,,,,
3,REED,2026-06-24,07:26 KST,1.12,12.3,27.9,,7,1.35,1.18,0.9,-10.7,,,
3,RKLX,2026-06-24,07:26 KST,32.47,24.8,24.8,,4,1.62,34.09,25.98,-20.4,,,
5,MSTX,2026-06-24,07:26 KST,9.01,,26.4,,6,,9.91,,,-42.8,5119722.0,30.0
5,EDHL,2026-06-24,07:26 KST,4.41,,41.3,,7,,4.85,,,-28.3,7124602.0,30.0
