strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,ret5d,vol_avg,hold_days
1,GMEX,2026-07-14,07:22 KST,1.46,10.4,25.0,-34.5,7,4.3,1.53,1.17,,,,
1,FBYD,2026-07-14,07:22 KST,10.72,18.1,23.3,-30.1,6,0.9,11.26,8.58,,,,
3,ZSTK,2026-07-14,07:22 KST,1.82,12.2,23.7,,5,2.82,1.91,1.46,-16.5,,,
3,FBYD,2026-07-14,07:22 KST,10.72,18.1,23.3,,6,0.94,11.26,8.58,-18.0,,,
5,LESL,2026-07-14,07:22 KST,3.3,,231.3,,5,,3.63,,,-57.8,955388.0,30.0
