strategy,ticker,date,scan_time,price,rsi7,intraday,ret1d,consec_down,dist_low5,tp_price,sl_price,ret5d,vol_avg,hold_days
C,VMAR,2026-04-16,06:54 KST,1.44,13.1,24.3,-17.2,4,2.86,1.51,1.15,,,
C,RKLZ,2026-04-16,06:54 KST,13.05,20.9,24.5,-25.3,5,1.95,13.7,10.44,,,
E,IONZ,2026-04-16,06:54 KST,7.2,,23.4,,5,,7.92,,-71.5,4158538.0,30.0
E,ADVB,2026-04-16,06:54 KST,4.77,,30.8,,5,,5.25,,-28.7,1061672.0,30.0
E,ARTL,2026-04-16,06:54 KST,4.86,,22.2,,7,,5.35,,-25.3,5783173.0,30.0
