strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,ret5d,vol_avg,hold_days
1,GP,2026-08-31,09:33 KST,1.03,13.3,21.5,-34.8,6,3.0,1.08,0.82,,,,
3,GP,2026-08-31,09:33 KST,1.03,13.3,21.5,,6,3.0,1.08,0.82,-17.6,,,
5,JUNS,2026-08-31,09:33 KST,3.54,,26.7,,6,,3.89,,,-37.5,3227695.0,30.0
