strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,rsi14,ret5d,hold_days
A,AHMA,2026-03-27,13:31 KST,1.1,3.6,23.9,-35.3,11.0,3.8,1.16,0.88,,,,
C,LTRN,2026-03-27,13:31 KST,1.12,6.9,57.8,,4.0,0.9,1.18,0.9,-46.4,,,
C,SKYX,2026-03-27,13:31 KST,1.2,12.1,21.4,,4.0,1.27,1.25,0.96,-23.4,,,
D,LTRN,2026-03-27,13:31 KST,1.12,,57.8,,,,1.34,,,14.9,-47.4,30.0
