strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,rsi14,ret5d,hold_days,vol_avg
1,MST,2026-06-25,07:35 KST,7.06,15.4,25.8,-39.9,7.0,1.1,7.41,5.65,,,,,
1,MSTP,2026-06-25,07:35 KST,11.13,16.5,20.0,-40.2,7.0,0.7,11.69,8.91,,,,,
1,MSTX,2026-06-25,07:35 KST,7.33,16.6,25.3,-41.0,7.0,1.0,7.7,5.86,,,,,
3,MST,2026-06-25,07:35 KST,7.06,15.4,25.8,,7.0,1.15,7.41,5.65,-18.8,,,,
3,MSTP,2026-06-25,07:35 KST,11.13,16.5,20.0,,7.0,0.75,11.69,8.91,-18.6,,,,
3,MSTX,2026-06-25,07:35 KST,7.33,16.6,25.3,,7.0,0.96,7.7,5.86,-18.6,,,,
3,MBAI,2026-06-25,07:35 KST,1.11,20.7,22.0,,4.0,1.37,1.17,0.89,-14.0,,,,
3,RCAX,2026-06-25,07:35 KST,4.33,26.5,20.8,,4.0,1.41,4.55,3.46,-8.8,,,,
3,IREX,2026-06-25,07:35 KST,25.52,26.8,23.1,,4.0,2.45,26.8,20.42,-10.7,,,,
3,IRE,2026-06-25,07:35 KST,18.54,26.9,23.1,,4.0,2.83,19.47,14.83,-10.3,,,,
3,IREG,2026-06-25,07:35 KST,14.25,27.1,23.1,,4.0,2.07,14.96,11.4,-10.4,,,,
3,OKLL,2026-06-25,07:35 KST,4.7,27.9,22.7,,4.0,2.62,4.93,3.76,-11.3,,,,
3,VIDA,2026-06-25,07:35 KST,2.97,29.7,28.3,,4.0,2.41,3.12,2.38,-13.9,,,,
3,ENHA,2026-06-25,07:35 KST,2.88,29.9,25.3,,4.0,0.0,3.02,2.3,-17.9,,,,
4,DCX,2026-06-25,07:35 KST,1.02,,31.4,,,,1.22,,,24.1,-58.2,30.0,
4,SNDQ,2026-06-25,07:35 KST,1.98,,47.2,,,,2.38,,,25.0,-46.9,30.0,
5,MSTX,2026-06-25,07:35 KST,7.33,,25.3,,7.0,,8.06,,,,-48.2,30.0,5547193.0
5,RDWU,2026-06-25,07:35 KST,7.84,,20.7,,5.0,,8.62,,,,-45.4,30.0,3187401.0
