strategy,ticker,date,scan_time,price,rsi7,intraday,ret1d,consec_down,dist_low5,tp_price,sl_price
3,ATHR,2026-08-26,09:41 KST,3.01,19.9,23.3,-12.1,5,0.33,3.16,2.41
3,SUGP,2026-08-26,09:41 KST,1.0,25.9,22.2,-13.8,4,1.01,1.05,0.8
