strategy,ticker,date,scan_time,price,rsi7,intraday,ret1d,consec_down,dist_low5,tp_price,sl_price,ret5d,vol_avg,hold_days
3,PRAX,2026-06-02,08:16 KST,258.08,16.1,25.8,-23.0,4,0.89,270.98,206.46,,,
5,PCLA,2026-06-02,08:16 KST,6.8,,30.5,,5,,7.48,,-43.3,4414383.0,30.0
