strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,ret5d,vol_avg,hold_days
A,BEZ,2026-04-14,07:40 KST,5.15,16.0,47.4,-57.8,6,0.0,5.41,4.12,,,,
C,BEZ,2026-04-14,07:40 KST,5.15,16.0,47.4,,6,0.0,5.41,4.12,-48.2,,,
E,BEZ,2026-04-14,07:40 KST,5.15,,47.4,,6,,5.67,,,-71.1,540079.0,30.0
