strategy,ticker,date,scan_time,price,rsi7,intraday,ret1d,consec_down,dist_low5,tp_price,sl_price,rsi14,ret5d,hold_days
C,PHGE,2026-04-01,06:52 KST,3.3,15.6,23.7,-12.1,5.0,2.8,3.46,2.64,,,
D,FBLG,2026-04-01,06:52 KST,1.33,,52.3,,,,1.6,,20.3,-74.8,30.0
