strategy,ticker,date,scan_time,price,rsi7,intraday,ret1d,consec_down,dist_low5,tp_price,sl_price,ret5d,vol_avg,hold_days
3,OXSQ,2026-05-19,07:27 KST,1.3,5.8,20.5,-15.0,5,2.36,1.36,1.04,,,
3,RUBI,2026-05-19,07:27 KST,1.37,11.7,160.7,-20.8,4,1.48,1.44,1.1,,,
3,CDT,2026-05-19,07:27 KST,1.2,17.7,20.3,-20.0,4,1.69,1.26,0.96,,,
3,UECG,2026-05-19,07:27 KST,5.99,23.9,20.8,-19.4,6,1.7,6.29,4.79,,,
5,ASTN,2026-05-19,07:27 KST,8.43,,30.3,,5,,9.27,,-35.1,696841.0,30.0
