strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price
1,RUBI,2026-05-12,07:25 KST,1.88,9.8,26.6,-37.1,6,3.9,1.97,1.5
1,FCHL,2026-05-12,07:25 KST,1.33,18.9,23.6,-41.9,6,4.7,1.4,1.06
