strategy,ticker,date,scan_time,price,rsi14,intraday,ret5d,tp_price,hold_days
D,NXTT,2026-03-24,06:12 KST,1.0,19.7,57.7,-54.3,1.2,30
D,AHMA,2026-03-24,06:12 KST,1.7,22.6,35.2,-65.6,2.04,30
