strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,ret5d,vol_avg,hold_days
1,ASTN,2026-05-27,07:44 KST,3.38,17.9,27.2,-51.2,10,3.4,3.55,2.7,,,,
3,EDSA,2026-05-27,07:44 KST,7.97,29.3,22.1,,5,2.44,8.37,6.38,-17.8,,,
5,WGRX,2026-05-27,07:44 KST,3.16,,25.3,,6,,3.48,,,-62.4,1137165.0,30.0
5,ASTN,2026-05-27,07:44 KST,3.38,,27.2,,10,,3.72,,,-59.9,3233448.0,30.0
5,EDSA,2026-05-27,07:44 KST,7.97,,22.1,,5,,8.77,,,-33.3,528731.0,30.0
