strategy,ticker,date,scan_time,price,rsi7,intraday,ret1d,consec_down,dist_low5,tp_price,sl_price,ret5d,vol_avg,hold_days
3,IPST,2026-09-16,08:43 KST,2.66,27.6,22.3,-12.6,6,2.5,2.8,2.13,,,
5,BIAF,2026-09-16,08:43 KST,5.35,,23.1,,5,,5.88,,-49.0,7414235.0,30.0
