strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,rsi14,ret5d,hold_days,vol_avg
1,ATHR,2026-08-28,12:18 KST,2.88,17.4,31.6,-15.9,7.0,0.0,3.02,2.3,,,,,
1,CDT,2026-08-28,12:18 KST,1.69,18.1,25.3,-17.6,7.0,4.3,1.77,1.35,,,,,
3,AEHG,2026-08-28,12:18 KST,6.34,27.6,23.8,,9.0,0.79,6.66,5.07,-21.6,,,,
4,KXIN,2026-08-28,12:18 KST,1.43,,220.4,,,,1.72,,,14.2,-73.5,30.0,
4,BCAB,2026-08-28,12:18 KST,1.74,,39.1,,,,2.08,,,20.1,-45.4,30.0,
5,AEHG,2026-08-28,12:18 KST,6.34,,23.8,,9.0,,6.97,,,,-38.2,30.0,511870.0
5,JUNS,2026-08-28,12:18 KST,4.18,,25.6,,5.0,,4.6,,,,-32.6,30.0,3845351.0
