ticker,date,year,month,day_of_week,quarter,surge_open,surge_high,surge_low,surge_close,surge_volume,prev_close,daily_return_pct,open_gap_pct,price_before_surge,is_penny_stock,is_micro_price,is_sub_10,price_bucket,intraday_range_pct,avg_vol_5d,avg_vol_10d,avg_vol_20d,surge_vol_vs_5d,surge_vol_vs_20d,is_low_vol_before,is_very_low_vol,vol_trend_5d,ret_1d_before,ret_3d_before,ret_5d_before,ret_10d_before,ret_20d_before,ret_40d_before,ret_60d_before,max_drawdown_5d,volatility_5d,volatility_10d,volatility_20d,atr_14,atr_pct_of_price,avg_intraday_range_20d,rsi_7,rsi_14,rsi_7_oversold,rsi_14_oversold,bb_width,bb_position,below_lower_bb,bb_squeeze,macd,macd_signal,macd_histogram,stoch_k,stoch_d,williams_r,mfi_14,cci_20,adx_14,obv_5d_slope,obv_20d_slope,dist_from_sma5_pct,dist_from_sma10_pct,dist_from_sma20_pct,dist_from_sma50_pct,below_all_sma,dist_from_20d_high_pct,dist_from_20d_low_pct,dist_from_period_high_pct,dist_from_period_low_pct,consecutive_down_days,consecutive_up_days,prev_day_gap_down,green_candle_ratio_5d,gap_up_on_surge,next_1d_return,next_3d_return,next_5d_return,next_5d_max_drawdown,next_5d_max_gain
ETI,2021-08-04,2021,8,2,3,5.3,5.3,5.3,5.3,82168,0.06,8733.33,8733.33,0.06,1,1,1,<$1,0.0,0,2259,18904,82168.0,4.35,1,1,-100.0,0.0,0.0,0.0,0.0,0.0,-14.29,-98.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.54,37.83,0,0,0.0,0.5,0.0,1.0,-0.0119,-0.0173,0.0054,,,,0.0,,24.45,0.0,0.0,0.0,0.0,0.0,-4.15,0,0.0,0.0,-98.87,20.0,0,0,0,0.0,8733.33,-98.87,-98.87,-98.87,-98.87,-98.87
ETI,2021-12-03,2021,12,4,4,8.0,8.1,8.0,8.0,9442128,0.09,8788.89,8788.89,0.09,1,1,1,<$1,1.25,800,1515,1610,11802.66,5863.58,1,1,-50.32,12.5,12.5,12.5,0.0,0.0,12.5,28.57,-11.11,8.36,5.57,4.74,0.0043,4.76,3.75,66.13,62.94,0,0,18.65,0.6218,0.0,1.0,0.0001,0.001,-0.0008,100.0,33.33,-0.0,4.21,66.67,72.59,20.42,-25.33,9.76,4.65,2.27,8.17,0,0.0,12.5,-91.0,28.57,0,1,0,0.0,8788.89,-98.87,-98.87,-98.87,-98.87,-98.87
ETI,2021-12-27,2021,12,0,4,8.9,8.9,8.9,8.9,0,0.13,6746.15,6746.15,0.13,1,1,1,<$1,0.0,25905,16251,481421,0.0,0.0,0,0,-94.62,8.33,18.18,44.44,44.44,62.5,62.5,62.5,-30.77,4.43,5.02,1966.09,0.5679,436.81,1.99,47.03,48.48,0,0,1447.76,0.4493,0.0,0.0,-0.0769,-0.0163,-0.0605,100.0,33.54,-0.0,74.82,-32.06,24.46,1.35,477696.0,18.18,30.0,-73.39,-47.24,0,-98.4,62.5,-98.4,62.5,0,4,0,0.8,6746.15,0.0,-98.43,-98.43,-98.43,0.0
ETI,2022-01-07,2022,1,4,1,8.65,8.65,8.65,8.65,2000957,0.14,6078.57,6078.57,0.14,1,1,1,<$1,0.0,24188,21404,14827,82.72,134.95,1,1,63.13,0.0,0.0,0.0,16.67,55.56,55.56,75.0,0.0,0.0,2136.4,1509.36,1.255,896.43,1.93,42.74,46.81,0,0,1091.79,0.4213,0.0,0.0,0.0538,0.3034,-0.2496,0.57,0.57,-99.43,42.97,-35.84,17.86,0.0,1.21,0.0,-92.59,-85.87,-76.91,0,-98.43,55.56,-98.43,75.0,0,0,0,0.0,6078.57,-98.38,-98.38,-98.38,-98.38,-98.38
FNUC,2024-12-18,2024,12,2,4,7.41,13.0,4.979,10.66,92528892,2.379,348.09,211.48,2.379,1,0,1,$1-5,161.1,227895,232261,193458,406.01,478.29,0,0,17.8,17.31,11.59,10.91,2.81,-18.67,-35.79,-37.76,-14.75,9.75,9.17,7.68,0.4448,18.7,17.0,52.12,43.08,0,0,43.59,0.4479,0.0,1.0,-0.319,-0.343,0.024,18.45,9.33,-81.55,64.64,-50.74,18.94,26.72,422.34,10.77,7.02,-2.27,-27.18,0,-42.81,20.39,-53.44,20.39,0,1,0,0.2,211.48,-63.17,-53.29,7.32,-66.46,9.76
FUBO,2025-01-06,2025,1,0,1,47.76,63.6,36.6,60.72,56845842,17.28,251.39,176.39,17.28,0,0,0,$10-20,73.77,1160180,1108691,1072013,49.0,53.03,0,0,8.22,2.13,14.29,6.67,9.09,-19.1,2.13,2.13,-13.19,6.91,5.42,4.52,1.1323,6.55,7.02,56.47,48.9,0,0,45.45,0.4398,0.0,0.0,-0.7081,-0.6438,-0.0643,59.74,37.49,-40.26,37.0,-20.18,24.68,245.59,-75.68,7.3,6.67,-2.74,-5.51,0,-21.31,19.01,-22.79,19.01,0,3,0,0.6,176.39,7.91,0.99,-24.7,-25.3,27.47
GLMD,2024-09-17,2024,9,1,3,5.36,23.8,5.34,15.1,98531200,3.87,290.18,38.5,3.87,1,0,1,$1-5,345.69,351100,232640,229874,280.64,428.63,0,0,52.74,-5.84,-2.76,8.71,23.64,7.14,-3.73,2.71,-13.38,6.55,11.01,13.83,0.5406,13.97,17.41,57.91,54.37,0,0,56.26,0.6383,0.0,0.0,0.0519,-0.0267,0.0786,66.74,76.59,-33.26,69.4,62.3,25.48,57.27,13378.6,1.42,11.1,7.78,7.55,0,-27.04,41.76,-27.04,41.76,1,0,1,0.8,38.5,-54.3,-38.08,-46.69,-56.53,-10.07
IDAI,2025-01-06,2025,1,0,1,7.5,8.96,7.0,8.26,564700,0.57,1349.12,1215.79,0.57,1,1,1,<$1,28.0,23429480,13361680,8217360,0.02,0.07,0,0,185.12,-16.54,-35.45,-19.72,72.73,-3.39,200.0,161.47,-52.5,41.82,29.32,21.84,0.2145,37.63,31.67,47.49,51.58,0,0,158.93,0.5437,0.0,0.0,0.0963,0.0744,0.0219,27.89,42.95,-72.11,66.64,0.02,34.47,-1.65,3.58,-29.56,-6.19,6.95,50.44,0,-54.4,85.67,-54.4,282.55,3,0,1,0.4,1215.79,-13.2,-37.65,-47.7,-49.15,-6.78
INBS,2023-01-23,2023,1,0,1,2400.0,3840.0,2208.0,2472.0,61512,628.8,293.13,281.68,628.8,0,0,0,$50+,73.91,22,21,34,2721.77,1767.59,1,1,-35.06,4.8,6.94,-6.43,15.42,-9.03,-32.82,-44.61,-12.5,5.44,6.27,8.05,79.7143,12.68,16.46,52.75,46.24,0,0,47.23,0.629,0.0,1.0,-35.7692,-51.6584,15.8892,72.57,66.19,-27.43,74.88,41.61,19.66,-126.67,66.99,0.23,1.67,6.09,-18.22,0,-20.61,54.12,-47.6,54.12,0,2,0,0.2,281.68,15.53,-6.8,-12.62,-27.18,39.81
INLX,2020-04-08,2020,4,2,2,2.15,2.15,2.15,2.15,300,0.08,2587.5,2587.5,0.08,1,1,1,<$1,0.0,0,0,61,300.0,4.92,1,1,-100.0,0.0,0.0,0.0,0.0,-98.0,-98.0,-97.71,0.0,0.0,0.0,23.53,0.3514,439.29,17.5,14.92,25.88,1,1,536.86,0.3225,0.0,0.0,-1.0325,-0.9646,-0.0679,0.0,0.0,-100.0,0.0,-51.28,44.32,0.0,20.72,0.0,0.0,-95.3,-97.39,0,-98.4,0.0,-99.2,0.0,0,0,0,0.0,2587.5,39.53,39.53,39.53,39.53,39.53
