strategy,ticker,date,scan_time,price,rsi14,intraday,ret5d,tp_price,hold_days,consec_down,vol_avg,rsi7,dist_52w,ret_1d,gap_pct,atr_change,sl_price
4,TOPS,2026-05-15,07:13 KST,1.02,16.8,91.4,-53.2,1.22,30,,,,,,,,
4,BLNE,2026-05-15,07:13 KST,1.08,20.9,62.6,-43.7,1.3,30,,,,,,,,
5,HCAI,2026-05-15,07:13 KST,5.54,,23.4,-53.8,6.09,30,9.0,2893867.0,,,,,,
8,LNKS,2026-05-15,07:13 KST,1.49,,,,2.09,20,,,29.9,-99.6,-8.6,6.7,47.6,1.19
