strategy,ticker,date,scan_time,price,rsi7,intraday,ret1d,consec_down,dist_low5,tp_price,sl_price,rsi14,ret5d,hold_days
3,RDWU,2026-07-07,07:22 KST,6.8,26.6,21.9,-19.9,4.0,1.8,7.14,5.44,,,
4,HODO,2026-07-07,07:22 KST,1.78,,47.9,,,,2.14,,22.6,-55.6,30.0
