strategy,ticker,date,scan_time,price,rsi7,intraday,ret1d,consec_down,dist_low5,tp_price,sl_price,rsi14,ret5d,hold_days
3,GLIBK,2026-05-07,07:09 KST,26.77,10.8,25.2,-18.8,5.0,2.16,28.11,21.42,,,
3,GLIBA,2026-05-07,07:09 KST,27.16,11.4,21.2,-18.3,5.0,2.88,28.52,21.73,,,
3,RAIN,2026-05-07,07:09 KST,1.46,14.2,33.6,-22.3,4.0,2.1,1.53,1.17,,,
4,ENGN,2026-05-07,07:09 KST,1.72,,31.8,,,,2.06,,22.4,-76.3,30.0
