strategy,ticker,date,scan_time,price,rsi14,intraday,ret5d,tp_price,hold_days
D,SMCL,2026-03-20,06:07 KST,1.43,23.5,39.6,-66.9,1.72,30
D,QVCGA,2026-03-20,06:07 KST,1.78,24.5,40.4,-40.3,2.14,30
