strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,rsi14,ret5d,hold_days
1,HCWB,2026-08-18,06:33 KST,2.13,14.3,48.8,-27.2,7.0,3.9,2.24,1.7,,,
4,WATR,2026-08-18,06:33 KST,2.84,,32.9,,,,3.41,,24.1,-47.8,30.0
