strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,ret5d,vol_avg,hold_days
1,HODO,2026-07-08,07:18 KST,1.56,8.2,22.6,-36.3,6,0.6,1.64,1.25,,,,
3,HODO,2026-07-08,07:18 KST,1.56,8.2,22.6,,6,0.65,1.64,1.25,-12.4,,,
5,LUNL,2026-07-08,07:18 KST,6.06,,23.2,,5,,6.67,,,-37.8,1073419.0,30.0
