strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,rsi14,ret5d,hold_days
1,CRIS,2026-08-11,06:54 KST,2.31,10.6,47.2,-47.6,6.0,0.9,2.43,1.85,,,,
3,CRIS,2026-08-11,06:54 KST,2.31,10.6,47.2,,6.0,0.87,2.43,1.85,-36.9,,,
4,SLXN,2026-08-11,06:54 KST,1.03,,46.9,,,,1.24,,,24.8,-45.5,30.0
4,RETO,2026-08-11,06:54 KST,1.2,,215.9,,,,1.44,,,21.2,-58.6,30.0
4,CRIS,2026-08-11,06:54 KST,2.31,,47.2,,,,2.77,,,24.5,-51.1,30.0
