strategy,ticker,date,scan_time,price,rsi7,intraday,ret1d,consec_down,dist_low5,tp_price,sl_price,rsi14,ret5d,hold_days,vol_avg
3,GOAI,2026-06-10,08:05 KST,2.28,13.6,46.7,-9.9,4.0,0.44,2.39,1.82,,,,
4,CRMT,2026-06-10,08:05 KST,2.37,,321.9,,,,2.84,,20.6,-67.8,30.0,
5,FOFO,2026-06-10,08:05 KST,3.03,,22.9,,5.0,,3.33,,,-54.0,30.0,562647.0
