strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d
1,XXII,2026-08-25,06:47 KST,3.01,12.7,20.7,-23.4,7,0.3,3.16,2.41,
3,XXII,2026-08-25,06:47 KST,3.01,12.7,20.7,,7,0.33,3.16,2.41,-18.3
