strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,ret5d,vol_avg,hold_days
1,RACC,2026-09-03,08:11 KST,12.37,9.3,46.1,-40.4,6,1.0,12.99,9.9,,,,
3,RACC,2026-09-03,08:11 KST,12.37,9.3,46.1,,6,0.98,12.99,9.9,-37.4,,,
5,DBGI,2026-09-03,08:11 KST,3.63,,41.4,,11,,3.99,,,-49.7,290597.0,30.0
