strategy,ticker,date,scan_time,price,rsi7,intraday,ret1d,consec_down,dist_low5,tp_price,sl_price
3,RUBI,2026-05-11,07:19 KST,2.29,13.0,24.9,-19.1,5,1.1,2.4,1.83
3,GRNQ,2026-05-11,07:19 KST,1.57,14.2,34.4,-22.3,4,0.0,1.65,1.26
