strategy,ticker,date,scan_time,price,rsi7,intraday,ret1d,consec_down,dist_low5,tp_price,sl_price,rsi14,ret5d,hold_days
3,NOMA,2026-09-10,08:09 KST,1.69,13.8,21.2,-13.3,4.0,2.42,1.77,1.35,,,
4,BENF,2026-09-10,08:09 KST,1.21,,55.6,,,,1.45,,24.8,-40.3,30.0
4,HCAI,2026-09-10,08:09 KST,2.59,,89.3,,,,3.11,,19.8,-43.0,30.0
