strategy,ticker,date,scan_time,price,rsi14,intraday,ret5d,tp_price,hold_days,consec_down,vol_avg
D,LBGJ,2026-03-30,13:03 KST,1.07,22.1,41.2,-58.8,1.28,30,,
D,FBLG,2026-03-30,13:03 KST,2.28,23.3,45.1,-54.4,2.74,30,,
E,ONDG,2026-03-30,13:03 KST,4.33,,23.1,-46.1,4.76,30,5.0,1942145.0
E,NPT,2026-03-30,13:03 KST,4.77,,56.1,-38.1,5.25,30,5.0,972150.0
