strategy,ticker,date,scan_time,price,ret5d,intraday,consec_down,vol_avg,tp_price,hold_days,rsi14,vol_ratio,macd_hist,ret_1d,ret_5d,sl_price
5,NFE,2026-09-23,08:35 KST,6.4,-48.8,29.9,6.0,1746551.0,7.04,30,,,,,,
9,YHC,2026-09-23,08:35 KST,1.3,,,,,1.43,5,27.3,6.24,0.4218,-5.1,0.8,1.04
