strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,rsi14,ret5d,hold_days
1,SMX,2026-04-27,07:04 KST,1.56,14.8,42.5,-57.6,7.0,0.6,1.64,1.25,,,,
3,SMX,2026-04-27,07:04 KST,1.56,14.8,42.5,,7.0,0.65,1.64,1.25,-25.0,,,
3,GURE,2026-04-27,07:04 KST,3.53,22.1,40.5,,4.0,0.0,3.71,2.82,-29.4,,,
4,CMPX,2026-04-27,07:04 KST,1.79,,54.0,,,,2.15,,,19.7,-66.9,30.0
