strategy,name,signals,win_rate,avg_pct,median_pct,max_gain,max_loss,avg_days,monthly_freq
F,볼린저 스퀴즈 돌파 +30%,3,33.33333333333333,-6.232906252686565,-10.0,9.900990526385081,-10.0,7.333333333333333,0.625
G,갭업 눌림 재돌파 +35%,46,36.95652173913043,2.6178782897932176,-10.0,76.31578593561676,-10.0,7.282608695652174,2.258592471358429
H,거래량 폭발 저가 반등 +40%,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,다중 MA 모멘텀 +30%,176,46.02272727272727,3.1432380996209717,-0.8325925830606389,117.9487320563267,-8.0,10.255681818181818,8.211508553654744
